"Date","Tmax","Tmin","Sun","Rain","TmaxAvg","RainyDays"
06/19/90,32.2,20,795,0,29.78,2
06/20/90,29.4,14.4,847,0,29.88,2
06/21/90,34.4,22.2,673,0,30.54,1
06/22/90,32.2,18.9,515,1,31.98,1
06/23/90,30.6,20.6,439,1,32.2,2
06/24/90,28.3,17.2,745,0,31.76,2
06/25/90,29.4,13.3,869,0,30.98,2
06/26/90,30.6,16.7,648,0,30.98,2
06/27/90,32.2,17.2,708,0,30.22,2
06/28/90,33.3,20.6,671,0,30.22,1
06/29/90,34.4,20.6,733,0,30.76,0
06/30/90,34.4,22.2,600,1,31.98,0
07/01/90,33.9,20,470,1,32.98,1
07/02/90,28.3,17.2,783,0,33.64,2
07/03/90,30.6,14.4,802,0,32.86,2
07/04/90,33.3,18.3,814,0,32.32,2
07/05/90,35.6,20,752,0,32.1,2
07/06/90,35,22.8,462,0,32.34,1
07/07/90,30.6,21.7,298,0,32.56,0
07/08/90,32.8,21.7,157,0,33.02,0
07/09/90,35.6,22.8,690,0,33.46,0
07/10/90,36.7,22.2,600,1,33.92,0
07/11/90,35.6,21.7,619,1,34.14,1
07/12/90,34.4,22.8,625,1,34.26,2
07/13/90,32.2,21.1,445,1,35.02,3
07/14/90,31.1,22.8,512,1,34.9,4
07/15/90,30.6,22.8,563,1,34,5
07/16/90,31.7,21.7,384,0,32.78,5
07/17/90,32.2,20,509,1,32,4
07/18/90,30.6,19.4,389,0,31.56,4
07/19/90,31.7,22.2,276,1,31.24,3
07/20/90,31.7,21.1,284,1,31.36,3
07/21/90,33.3,22.8,517,1,31.58,3
07/22/90,33.9,20.6,820,0,31.9,4
07/23/90,33.3,21.7,761,0,32.24,3
07/24/90,31.7,21.1,573,1,32.78,3
07/25/90,31.7,18.9,760,0,32.78,3
07/26/90,31.7,19.4,830,0,32.78,2
07/27/90,30.6,18.3,416,1,32.46,1
07/28/90,30.6,21.1,536,0,31.8,2
07/29/90,31.7,20,561,0,31.26,2
07/30/90,32.2,19.4,522,0,31.26,1
07/31/90,35,22.2,593,0,31.36,1
08/01/90,31.1,19.4,669,0,32.02,1
08/02/90,28.3,16.1,237,0,32.12,0
08/03/90,31.7,17.8,554,1,31.66,0
08/04/90,33.3,18.9,263,0,31.66,1
08/05/90,32.2,22.2,54,1,31.88,1
08/06/90,31.1,21.7,56,1,31.32,2
08/07/90,30,21.7,168,1,31.32,3
08/08/90,28.9,20,31,1,31.66,4
08/09/90,21.7,18.3,0,1,31.1,4
08/10/90,27.2,18.9,165,1,28.78,5
08/11/90,30.6,17.8,489,0,27.78,5
08/12/90,33.3,17.2,342,0,27.68,4
08/13/90,32.8,21.1,449,0,28.34,3
08/14/90,33.3,21.1,243,1,29.12,2
08/15/90,30.6,19.4,17,1,31.44,2
08/16/90,28.3,20,3,1,32.12,2
08/17/90,28.9,20.6,217,1,31.66,3
08/18/90,31.1,20.6,409,0,30.78,4
08/19/90,33.9,21.1,221,0,30.44,4
08/20/90,33.9,22.2,366,1,30.56,3
08/21/90,27.2,20.6,36,1,31.22,3
08/22/90,28.9,21.1,162,1,31,3
08/23/90,30,21.1,95,1,31,3
08/24/90,29.4,21.7,296,1,30.78,4
08/25/90,32.8,21.1,212,1,29.88,5
08/26/90,33.3,22.2,647,0,29.66,5
08/27/90,35,22.2,616,0,30.88,4
08/28/90,34.4,21.1,577,0,32.1,3
08/29/90,35.6,21.1,354,1,32.98,2
08/30/90,29.4,20,722,0,34.22,2
08/31/90,29.4,17.2,770,0,33.54,1
06/06/91,25,11.1,785,0,30.78,2
06/07/91,24.4,11.7,789,0,28.9,1
06/08/91,27.2,11.1,714,0,27.34,0
06/09/91,30,14.4,729,0,26.66,0
06/10/91,31.1,14.4,654,0,26.32,0
06/11/91,31.1,17.2,213,0,27.54,0
06/12/91,28.9,20,152,1,28.76,0
06/13/91,32.8,18.9,621,0,29.66,1
06/14/91,33.3,19.4,86,1,30.78,1
06/15/91,32.2,20,555,0,31.44,2
06/16/91,34.4,21.1,510,1,31.66,2
06/17/91,33.9,21.1,538,1,32.32,3
06/18/91,31.1,21.1,131,1,33.32,3
06/19/91,28.3,21.7,27,1,32.98,4
06/20/91,27.8,21.7,12,1,31.98,4
06/21/91,31.7,21.7,188,1,31.1,5
06/22/91,32.2,21.7,307,1,30.56,5
06/23/91,29.4,18.9,54,1,30.22,5
06/24/91,27.2,17.2,589,0,29.88,5
06/25/91,26.7,13.3,746,0,29.66,4
06/26/91,28.3,15.6,471,0,29.44,3
06/27/91,30,20.6,736,0,28.76,2
06/28/91,32.2,18.3,663,0,28.32,1
06/29/91,34.4,22.2,647,0,28.88,0
06/30/91,34.4,23.3,481,1,30.32,0
07/01/91,35,22.8,737,1,31.86,1
07/02/91,33.9,21.7,543,1,33.2,2
07/03/91,32.2,21.1,434,1,33.98,3
07/04/91,32.2,21.7,387,1,33.98,4
07/05/91,31.7,22.2,387,1,33.54,5
07/06/91,32.8,21.1,680,1,33,5
07/07/91,34.4,21.7,678,0,32.56,5
07/08/91,35,22.8,641,0,32.66,4
07/09/91,33.3,21.7,797,0,33.22,3
07/10/91,34.4,22.2,631,1,33.44,2
07/11/91,31.1,21.7,408,1,33.98,2
07/12/91,31.1,22.2,338,0,33.64,2
07/13/91,33.3,23.3,706,0,32.98,2
07/14/91,32.2,21.7,775,0,32.64,2
07/15/91,31.1,19.4,747,0,32.42,2
07/16/91,30,21.1,363,0,31.76,1
07/17/91,31.1,19.4,602,1,31.54,0
07/18/91,31.7,20,301,1,31.54,1
07/19/91,31.1,21.1,422,1,31.22,2
07/20/91,33.3,22.8,571,0,31,3
07/21/91,34.4,23.9,266,0,31.44,3
07/22/91,35,24.4,660,0,32.32,3
07/23/91,35.6,23.9,766,0,33.1,2
07/24/91,35,23.3,739,0,33.88,1
07/25/91,33.3,21.7,535,1,34.66,0
07/26/91,33.3,22.8,454,1,34.66,1
07/27/91,30,21.1,111,1,34.44,2
07/28/91,27.2,21.1,196,1,33.44,3
07/29/91,28.9,20.6,134,1,31.76,4
07/30/91,25,19.4,5,1,30.54,5
07/31/91,29.4,21.1,228,1,28.88,5
08/01/91,28.3,22.2,1,0,28.1,5
08/02/91,27.8,21.1,63,1,27.76,4
08/03/91,33.9,22.8,576,1,27.88,4
08/04/91,34.4,22.2,530,1,28.88,4
08/05/91,31.7,22.2,712,0,30.76,4
08/06/91,30,22.8,227,1,31.22,3
08/07/91,30.6,21.7,133,1,31.56,4
08/08/91,31.7,21.1,290,0,32.12,4
08/09/91,32.2,22.8,188,1,31.68,3
08/10/91,32.2,21.7,537,0,31.24,3
08/11/91,31.1,21.1,577,0,31.34,3
08/12/91,23.9,18.3,1,1,31.56,2
08/13/91,28.3,18.3,49,1,30.22,2
08/14/91,27.2,19.4,1,1,29.54,3
08/15/91,28.9,19.4,363,1,28.54,3
08/16/91,31.7,17.8,725,0,27.88,4
08/17/91,31.7,18.3,570,0,28,4
08/18/91,32.8,20,463,1,29.56,3
08/19/91,32.2,21.1,196,1,30.46,3
08/20/91,30,21.7,465,0,31.46,3
08/21/91,29.4,15.6,624,0,31.68,2
08/22/91,30,17.8,315,0,31.22,2
08/23/91,30.6,17.8,511,0,30.88,2
08/24/91,30.6,20.6,227,1,30.44,1
08/25/91,29.4,21.1,364,1,30.12,1
08/26/91,25.6,20,0,1,30,2
08/27/91,27.2,22.8,44,1,29.24,3
08/28/91,30.6,21.1,240,0,28.68,4
08/29/91,32.8,20.6,500,0,28.68,4
08/30/91,32.8,20.6,724,0,29.12,3
08/31/91,33.3,20,580,1,29.8,2
06/06/92,30,16.1,736,0,25.44,3
06/07/92,32.2,18.9,655,0,26.66,3
06/08/92,32.2,20.6,536,1,27.88,3
06/09/92,23.9,20.6,11,1,29.1,3
06/10/92,27.2,20,185,1,29.44,3
06/11/92,25.6,17.2,206,1,29.1,3
06/12/92,24.4,16.7,116,1,28.22,4
06/13/92,26.7,17.8,510,0,26.66,5
06/14/92,24.4,17.2,47,1,25.56,4
06/15/92,30,16.1,490,1,25.66,4
06/16/92,26.7,17.8,223,1,26.22,4
06/17/92,26.7,17.8,592,0,26.44,4
06/18/92,27.2,15.6,478,1,26.9,3
06/19/92,28.9,18.9,193,1,27,4
06/20/92,30.6,18.9,546,0,27.9,4
06/21/92,20.6,14.4,4,1,28.02,3
06/22/92,23.9,11.7,822,0,26.8,3
06/23/92,26.1,10,717,0,26.24,3
06/24/92,29.4,17.2,216,0,26.02,2
06/25/92,32.2,20,509,1,26.12,1
06/26/92,28.3,19.4,113,1,26.44,2
06/27/92,30.6,18.3,486,1,27.98,2
06/28/92,28.9,16.7,591,0,29.32,3
06/29/92,29.4,17.2,527,0,29.88,3
06/30/92,30.6,18.3,320,1,29.88,3
07/01/92,30,20.6,168,1,29.56,3
07/02/92,30.6,21.1,333,0,29.9,3
07/03/92,30,21.7,37,1,29.9,2
07/04/92,31.7,20,612,0,30.12,3
07/05/92,31.1,16.1,686,1,30.58,3
07/06/92,28.9,20.6,210,1,30.68,3
07/07/92,29.4,18.9,692,0,30.46,3
07/08/92,31.7,17.8,291,0,30.22,3
07/09/92,35,23.3,737,0,30.56,2
07/10/92,35.6,22.2,806,0,31.22,2
07/11/92,35,22.8,777,0,32.12,1
07/12/92,35.6,22.8,778,0,33.34,0
07/13/92,35.6,25,815,0,34.58,0
07/14/92,34.4,23.3,662,0,35.36,0
07/15/92,33.3,24.4,736,0,35.24,0
07/16/92,31.7,23.3,445,0,34.78,0
07/17/92,31.7,22.8,491,1,34.12,0
07/18/92,31.1,22.2,510,1,33.34,1
07/19/92,32.2,21.7,455,1,32.44,2
07/20/92,33.9,20,620,1,32,3
07/21/92,32.8,19.4,725,0,32.12,4
07/22/92,32.8,21.7,403,1,32.34,4
07/23/92,30,22.8,31,1,32.56,4
07/24/92,30,22.2,14,1,32.34,4
07/25/92,32.8,21.1,150,0,31.9,4
07/26/92,32.8,21.7,239,0,31.68,3
07/27/92,34.4,22.8,525,1,31.68,3
07/28/92,30.6,20.6,518,1,32,3
07/29/92,31.1,18.3,724,0,32.12,3
07/30/92,33.3,20.6,354,1,32.34,2
07/31/92,33.9,22.2,647,1,32.44,3
08/01/92,27.2,18.3,537,0,32.66,4
08/02/92,25,16.1,80,1,31.22,3
08/03/92,30,18.9,555,0,30.1,3
08/04/92,31.7,20.6,595,0,29.88,3
08/05/92,26.1,19.4,141,1,29.56,2
08/06/92,22.2,18.9,0,1,28,2
08/07/92,26.7,18.3,72,1,27,3
08/08/92,31.1,18.9,219,1,27.34,3
08/09/92,32.8,21.7,484,1,27.56,4
08/10/92,33.9,19.4,649,0,27.78,5
08/11/92,34.4,21.1,504,0,29.34,4
08/12/92,31.7,21.1,307,1,31.78,3
08/13/92,27.8,18.3,153,1,32.78,3
08/14/92,21.7,18.3,0,1,32.12,3
08/15/92,21.1,18.3,0,1,29.9,3
08/16/92,22.2,18.9,0,1,27.34,4
08/17/92,23.3,20,0,1,24.9,5
08/18/92,27.8,20,375,1,23.22,5
08/19/92,30.6,18.9,523,1,23.22,5
08/20/92,26.1,19.4,5,1,25,5
08/21/92,27.2,17.8,422,0,26,5
08/22/92,26.7,17.2,245,0,27,4
08/23/92,27.8,16.7,550,0,27.68,3
08/24/92,30,18.3,670,0,27.68,2
08/25/92,31.1,18.9,704,0,27.56,1
08/26/92,31.7,19.4,229,1,28.56,0
08/27/92,31.7,20.6,273,1,29.46,1
08/28/92,28.3,19.4,261,1,30.46,2
08/29/92,26.1,15,735,0,30.56,3
08/30/92,27.8,12.2,779,0,29.78,3
08/31/92,30.6,15.6,586,0,29.12,3
06/06/93,25.6,13.9,690,0,28.88,2
06/07/93,30,13.3,579,0,29.12,1
06/08/93,32.8,21.1,468,0,30,1
06/09/93,35,23.9,814,0,30.68,1
06/10/93,35,21.7,863,0,31.34,0
06/11/93,33.3,22.8,755,0,31.68,0
06/12/93,30,20.6,225,1,33.22,0
06/13/93,22.2,16.1,0,1,33.22,1
06/14/93,27.8,14.4,713,0,31.1,2
06/15/93,29.4,13.9,735,0,29.66,2
06/16/93,31.1,20,775,0,28.54,2
06/17/93,32.2,19.4,425,0,28.1,2
06/18/93,32.2,20,289,0,28.54,1
06/19/93,33.3,20,682,0,30.54,0
06/20/93,32.8,20,850,0,31.64,0
06/21/93,27.8,21.1,35,1,32.32,0
06/22/93,31.1,19.4,485,0,31.66,1
06/23/93,31.1,17.8,585,0,31.44,1
06/24/93,32.2,17.2,790,0,31.22,1
06/25/93,30.6,15.6,870,0,31,1
06/26/93,31.7,19.4,678,1,30.56,1
06/27/93,31.1,21.1,651,1,31.34,1
06/28/93,33.3,17.8,793,0,31.34,2
06/29/93,34.4,20,436,1,31.78,2
06/30/93,32.2,20,673,0,32.22,3
07/01/93,30.6,21.1,418,1,32.54,3
07/02/93,32.8,21.1,475,1,32.32,3
07/03/93,34.4,21.1,675,1,32.66,3
07/04/93,35,21.1,860,1,32.88,4
07/05/93,35,22.8,670,1,33,4
07/06/93,34.4,21.1,658,0,33.56,5
07/07/93,34.4,21.1,593,1,34.32,4
07/08/93,36.7,22.8,667,1,34.64,4
07/09/93,37.2,23.3,650,1,35.1,4
07/10/93,37.2,22.2,800,0,35.54,4
07/11/93,37.2,23.3,600,1,35.98,3
07/12/93,36.1,22.8,700,0,36.54,4
07/13/93,35.6,21.7,675,1,36.88,3
07/14/93,36.1,22.8,754,0,36.66,3
07/15/93,34.4,23.3,510,1,36.44,2
07/16/93,31.1,21.1,458,0,35.88,3
07/17/93,33.3,20,485,0,34.66,2
07/18/93,30.6,22.2,205,1,34.1,2
07/19/93,31.1,22.8,0,1,33.1,2
07/20/93,35,20.6,825,0,32.1,3
07/21/93,35,20,855,0,32.22,2
07/22/93,32.2,21.7,645,0,33,2
07/23/93,32.2,22.2,234,0,32.78,2
07/24/93,32.8,22.2,172,1,33.1,1
07/25/93,35,22.8,356,1,33.44,1
07/26/93,31.7,22.2,220,1,33.44,2
07/27/93,33.9,23.3,471,1,32.78,3
07/28/93,37.2,23.9,770,0,33.12,4
07/29/93,37.2,24.4,646,0,34.12,4
07/30/93,31.7,20.6,767,0,35,3
07/31/93,31.1,18.3,536,0,34.34,2
08/01/93,32.8,18.3,640,0,34.22,1
08/02/93,33.9,21.1,565,0,34,0
08/03/93,33.3,20,405,1,33.34,0
08/04/93,30.6,20,225,1,32.56,1
08/05/93,31.1,20.6,435,0,32.34,2
08/06/93,30.6,19.4,121,1,32.34,2
08/07/93,25,17.8,140,1,31.9,3
08/08/93,26.7,16.7,295,1,30.12,4
08/09/93,29.4,17.8,725,0,28.8,4
08/10/93,30,16.7,544,0,28.56,3
08/11/93,31.1,18.3,533,0,28.34,3
08/12/93,31.1,18.3,499,0,28.44,2
08/13/93,24.4,21.1,0,1,29.66,1
08/14/93,31.1,21.1,415,0,29.2,1
08/15/93,33.9,19.4,557,0,29.54,1
08/16/93,32.8,20,645,0,30.32,1
08/17/93,33.9,23.3,428,1,30.66,1
08/18/93,32.2,21.1,351,0,31.22,2
08/19/93,31.7,19.4,410,0,32.78,1
08/20/93,32.2,20,575,1,32.9,1
08/21/93,32.2,19.4,400,0,32.56,2
08/22/93,31.1,20,580,0,32.44,2
08/23/93,31.1,17.2,489,0,31.88,1
08/24/93,32.2,18.3,675,0,31.66,1
08/25/93,32.8,18.9,390,0,31.76,1
08/26/93,33.3,20,300,1,31.88,0
08/27/93,32.2,19.4,547,0,32.1,1
08/28/93,33.9,20.6,686,0,32.32,1
08/29/93,36.1,21.1,748,0,32.88,1
08/30/93,35.6,21.7,467,0,33.66,1
08/31/93,34.4,20.6,610,0,34.22,1
06/06/94,29.4,21.1,181,1,29.22,3
06/07/94,28.9,21.7,154,1,28.88,4
06/08/94,28.3,19.4,188,1,28.32,5
06/09/94,25.6,17.2,204,1,28.54,5
06/10/94,21.7,17.8,0,1,28.1,5
06/11/94,23.3,17.2,23,1,26.78,5
06/12/94,30.6,20,441,0,25.56,5
06/13/94,32.8,19.4,718,0,25.9,4
06/14/94,33.9,22.8,621,0,26.8,3
06/15/94,33.9,21.1,725,0,28.46,2
06/16/94,35.6,20,583,1,30.9,1
06/17/94,30.6,20,533,1,33.36,1
06/18/94,31.7,19.4,600,0,33.36,2
06/19/94,33.9,19.4,790,0,33.14,2
06/20/94,35,20,655,1,33.14,2
06/21/94,33.9,20,539,1,33.36,3
06/22/94,33.3,20.6,616,0,33.02,3
06/23/94,33.9,20.6,518,0,33.56,2
06/24/94,31.7,22.8,540,1,34,2
06/25/94,30.6,21.1,517,1,33.56,3
06/26/94,31.1,20,713,1,32.68,3
06/27/94,26.1,19.4,204,1,32.12,3
06/28/94,30,19.4,536,0,30.68,4
06/29/94,31.7,20,423,1,29.9,4
06/30/94,29.4,19.4,455,1,29.9,4
07/01/94,31.7,18.9,634,1,29.66,4
07/02/94,31.1,21.1,381,0,29.78,4
07/03/94,31.7,21.7,686,0,30.78,3
07/04/94,32.2,21.1,480,1,31.12,3
07/05/94,32.8,20,681,1,31.22,3
07/06/94,32.2,21.1,866,0,31.9,3
07/07/94,32.2,21.7,663,0,32,2
07/08/94,32.2,23.3,573,0,32.22,2
07/09/94,33.9,22.8,835,0,32.32,2
07/10/94,32.8,22.2,517,1,32.66,1
07/11/94,29.4,22.2,137,1,32.66,1
07/12/94,28.9,21.7,134,1,32.1,2
07/13/94,32.2,22.2,601,1,31.44,3
07/14/94,32.2,22.8,709,0,31.44,4
07/15/94,34.4,22.8,635,0,31.1,4
07/16/94,33.9,21.1,498,1,31.42,3
07/17/94,33.3,21.1,536,1,32.32,3
07/18/94,30.6,21.1,337,1,33.2,3
07/19/94,32.8,21.1,394,1,32.88,3
07/20/94,30.6,20.6,509,1,33,4
07/21/94,30.6,22.2,223,1,32.24,5
07/22/94,31.1,23.3,329,1,31.58,5
07/23/94,30.6,21.7,384,1,31.14,5
07/24/94,31.7,21.7,718,0,31.14,5
07/25/94,32.8,22.2,513,1,30.92,4
07/26/94,30,20.6,422,1,31.36,4
07/27/94,29.4,20.6,141,1,31.24,4
07/28/94,28.9,21.7,132,1,30.9,4
07/29/94,29.4,21.1,342,1,30.56,4
07/30/94,28.3,20,195,1,30.1,5
07/31/94,30.6,20,316,1,29.2,5
08/01/94,30,20,350,1,29.32,5
08/02/94,31.1,20.6,585,0,29.44,5
08/03/94,32.2,19.4,696,0,29.88,4
08/04/94,28.9,22.8,185,1,30.44,3
08/05/94,30.6,19.4,200,1,30.56,3
08/06/94,25,16.7,652,0,30.56,3
08/07/94,25.6,13.9,785,0,29.56,2
08/08/94,27.2,15,802,0,28.46,2
08/09/94,30.6,14.4,769,0,27.46,2
08/10/94,32.8,19.4,715,0,27.8,1
08/11/94,32.8,18.9,682,1,28.24,0
08/12/94,32.2,22.8,434,1,29.8,1
08/13/94,33.3,20,620,1,31.12,2
08/14/94,32.2,22.8,520,0,32.34,3
08/15/94,25,19.4,0,1,32.66,3
08/16/94,28.3,20.6,171,1,31.1,4
08/17/94,30,22.8,296,1,30.2,4
08/18/94,31.1,20,655,0,29.76,4
08/19/94,29.4,19.4,276,1,29.32,3
08/20/94,30,18.3,628,0,28.76,4
08/21/94,30,18.9,273,1,29.76,3
08/22/94,28.3,17.8,672,0,30.1,3
08/23/94,27.8,16.1,715,0,29.76,2
08/24/94,26.7,15,706,0,29.1,2
08/25/94,28.9,15,550,0,28.56,1
08/26/94,31.7,19.4,454,0,28.34,1
08/27/94,31.7,18.9,249,1,28.68,0
08/28/94,32.8,17.8,601,0,29.36,1
08/29/94,32.2,22.2,432,1,30.36,1
08/30/94,27.8,19.4,580,1,31.46,2
08/31/94,32.2,19.4,585,0,31.24,3
06/06/95,21.7,19.4,0,1,28.68,4
06/07/95,31.7,17.2,788,0,27.24,4
06/08/95,34.4,18.9,770,1,27.8,3
06/09/95,32.8,18.9,580,1,28.9,3
06/10/95,31.1,18.9,481,1,29.12,4
06/11/95,31.7,20,324,1,30.34,4
06/12/95,27.8,16.7,130,1,32.34,4
06/13/95,23.3,14.4,662,0,31.56,5
06/14/95,27.2,12.2,788,1,29.34,4
06/15/95,28.9,13.3,717,0,28.22,4
06/16/95,27.8,16.1,875,0,27.78,3
06/17/95,27.2,13.3,844,0,27,2
06/18/95,26.7,16.7,95,1,26.88,1
06/19/95,23.9,18.9,29,1,27.56,2
06/20/95,25.6,18.3,140,1,26.9,2
06/21/95,26.1,16.7,156,1,26.24,3
06/22/95,27.8,19.4,69,1,25.9,4
06/23/95,28.9,19.4,340,1,26.02,5
06/24/95,30,18.9,188,1,26.46,5
06/25/95,29.4,19.4,164,1,27.68,5
06/26/95,29.4,20,228,1,28.44,5
06/27/95,28.9,21.1,145,1,29.1,5
06/28/95,29.4,21.7,244,1,29.32,5
06/29/95,25.6,19.4,25,1,29.42,5
06/30/95,29.4,20,252,1,28.54,5
07/01/95,29.4,21.1,152,1,28.54,5
07/02/95,30,19.4,454,1,28.54,5
07/03/95,29.4,17.8,352,0,28.76,5
07/04/95,31.1,18.9,329,1,28.76,4
07/05/95,31.7,20.6,435,1,29.86,4
07/06/95,32.8,20.6,421,1,30.32,4
07/07/95,31.1,20,438,1,31,4
07/08/95,30.6,19.4,806,0,31.22,4
07/09/95,29.4,17.8,730,0,31.46,4
07/10/95,31.7,18.3,484,1,31.12,3
07/11/95,32.2,20,413,1,31.12,3
07/12/95,31.7,20.6,720,0,31,3
07/13/95,31.7,18.9,752,0,31.12,2
07/14/95,32.8,18.9,756,0,31.34,2
07/15/95,33.9,22.8,829,0,32.02,2
07/16/95,34.4,23.9,409,0,32.46,1
07/17/95,33.9,22.8,429,0,32.9,0
07/18/95,33.9,22.8,421,0,33.34,0
07/19/95,32.8,21.1,519,0,33.78,0
07/20/95,33.3,20.6,607,0,33.78,0
07/21/95,32.8,24.4,302,1,33.66,0
07/22/95,32.2,22.2,227,0,33.34,1
07/23/95,35,23.3,620,0,33,1
07/24/95,35,22.8,746,1,33.22,1
07/25/95,34.4,21.7,615,1,33.66,2
07/26/95,33.9,21.1,741,0,33.88,3
07/27/95,33.9,23.3,573,0,34.1,2
07/28/95,33.3,22.8,530,1,34.44,2
07/29/95,33.3,22.2,758,0,34.1,3
07/30/95,35,23.3,495,1,33.76,2
07/31/95,34.4,22.8,524,0,33.88,2
08/01/95,33.9,23.9,530,0,33.98,2
08/02/95,33.9,22.8,790,0,33.98,2
08/03/95,34.4,22.8,647,1,34.1,1
08/04/95,34.4,23.3,743,0,34.32,2
08/05/95,33.3,23.3,605,0,34.2,1
08/06/95,32.8,24.4,318,1,33.98,1
08/07/95,27.8,21.7,98,1,33.76,2
08/08/95,23.9,18.3,58,1,32.54,3
08/09/95,27.2,19.4,64,1,30.44,3
08/10/95,30,21.7,214,1,29,4
08/11/95,31.1,20.6,634,0,28.34,5
08/12/95,36.7,20.6,770,0,28,4
08/13/95,37.2,22.8,588,0,29.78,3
08/14/95,37.8,25.6,593,0,32.44,2
08/15/95,34.4,25,489,0,34.56,1
08/16/95,33.9,22.8,631,0,35.44,0
08/17/95,35.6,23.9,588,0,36,0
08/18/95,35.6,25,549,0,35.78,0
08/19/95,33.3,21.1,580,0,35.46,0
08/20/95,31.1,18.3,674,0,34.56,0
08/21/95,33.3,18.3,428,0,33.9,0
08/22/95,35,21.7,374,1,33.78,0
08/23/95,31.1,22.2,310,0,33.66,1
08/24/95,33.9,20.6,526,0,32.76,1
08/25/95,33.3,21.7,406,1,32.88,1
08/26/95,25.6,20,11,1,33.32,2
08/27/95,27.2,22.8,10,1,31.78,3
08/28/95,28.9,20.6,309,1,30.22,3
08/29/95,30,18.9,650,0,29.78,4
08/30/95,31.7,20.6,445,0,29,4
08/31/95,31.7,19.4,588,0,28.68,3
06/06/96,29.4,13.3,834,0,27.22,1
06/07/96,31.1,17.8,797,0,27.98,1
06/08/96,31.1,20.6,577,0,28.98,1
06/09/96,27.8,21.1,203,1,29.76,1
06/10/96,31.1,22.2,623,0,29.44,1
06/11/96,29.4,18.9,448,1,30.1,1
06/12/96,30.6,19.4,627,1,30.1,2
06/13/96,30,18.9,563,1,30,3
06/14/96,31.7,18.3,654,0,29.78,4
06/15/96,32.8,19.4,517,1,30.56,3
06/16/96,31.7,18.9,721,0,30.9,4
06/17/96,31.7,19.4,707,0,31.36,3
06/18/96,33.3,21.1,763,0,31.58,2
06/19/96,32.2,21.7,285,1,32.24,1
06/20/96,32.2,21.7,437,1,32.34,2
06/21/96,32.8,21.1,701,0,32.22,2
06/22/96,35,20,781,0,32.44,2
06/23/96,33.9,22.8,613,0,33.1,2
06/24/96,37.2,23.3,586,1,33.22,2
06/25/96,33.9,22.2,537,1,34.22,2
06/26/96,28.3,18.3,830,0,34.56,2
06/27/96,28.9,13.9,854,0,33.66,2
06/28/96,31.7,15,0,0,32.44,2
06/29/96,32.8,17.8,0,0,32,2
06/30/96,33.9,22.8,0,0,31.12,1
07/01/96,36.1,21.1,0,0,31.12,0
07/02/96,36.1,21.7,0,1,32.68,0
07/03/96,31.7,19.4,0,0,34.12,1
